serial_id,accFoundMonthIncome,accFundGroupConsumeFinanceCnt,accFundGroupScoreCardCreditHistoryShortPer,accFundGroupScoreCardCreditWhiteUserFlag,accFundGroupScoreCardInqyOrgLoanCard3m,accFundGroupScoreCardIsCrossProvinceBehaviorAccFound,accFundGroupScoreCardIsLargeAgeAccFound,accFundGroupScoreCardIsVillageLargeAccFound,accFundGroupScoreCardNotBankLoanAccountCntRatio,accFundGroupScoreCardPbcV2ScoreInfoScore,accFundGroupScoreCardShortTermLoanCntAfterAccFound,accFundGroupScoreCardStability,ageDelqScore,ageDelqex,amtUseRatioAccountAvg,amtUseRatioMax,amtUseRatioSum,amtuseratioaccountmax,balanceMax,balanceMaxR2,balanceMinR2,balanceSum,balanceavg1r2,balanceavgr2,balancemin1r2,balancesumr2,baseInfoCompanyNature,baseInfoEduLevel,baseInfoEduLevelScore,baseInfoMaritalStatus,baseInfoMaritalStatusScore,baseV0300000AddressIsConsistent,baseV03007MobileCnt,baseV04002SpsCerttype,baseV0500000AddressCnt,baseV0500004AddressCnt,baseV0500005AddressCnt,baseV0500007AddressCnt,baseV0500025AddressCnt,baseV0500034ResidenceTypeCnt,baseV0500041ResidenceTypeCnt,baseV05003ResdType,baseV05004ResdMtypeOwn,baseV05005ResdMtypeOth,baseV05007ResdTypeC1,baseV05011ResdTypeC5,baseV05017ResdTypeCna,baseV0600002Company,baseV0600003StartYearCnt,baseV0600005Industry
CR202412100010800000000214,,10,0,,0,15,0,0,,0,0,15,0,29,0.3333333333333333,1.0,0.2064978,,300000,0,0,300000,,,,,50,30,6,30,0,0,1,,4,3,0,782,3,0,0,7,0,0,0,0,0,3,1805,1
CR202412100010800000000860,,2,0,,0,,0,0,,0,0,0,0,33,0.2693180546666667,1.0,0.61046457,,238400,5208,0,758244,,,,,20,10,15,10,4,0,3,10,5,1,0,1249,2,2,0,7,0,0,0,0,0,4,-999,2
CR202412100010800000001520,,28,0,,0,15,0,0,,0,0,15,0,29,1.0,1.0,0.1584943,,200000,,,200000,,,,,99,60,0,60,0,0,3,,5,4,0,418,4,1,0,9,0,1,0,1,0,4,-999,3
CR202412100010800000003165,,8,0,,0,15,0,0,,0,0,0,0,26,0.2864285714285714,1.0,0.33685495,,150000,15,0,230015,,,,,50,20,12,20,0,0,2,,4,3,0,599,3,2,0,9,0,0,0,0,0,3,-999,2
CR202412100010800000003940,,4,0,,0,,0,0,,0,0,15,0,31,0.30013,0.06876,0.07435965,,20628,20628,0,33763,,,,,99,90,0,90,4,0,2,,5,3,1,887,4,0,3,7,3,0,3,0,0,2,-999,2
CR202412100010800000004234,,0,0,,0,,0,0,,0,0,15,2,45,0.18241176,0.18241176,0.18241176,,3101,3101,3101,3101,,,,,99,30,6,30,4,0,1,,2,0,0,5151,0,0,0,9,0,0,0,0,0,0,-999,0
CR202412100010800000004456,,2,0,,0,,0,0,20,0,0,15,6,37,0.07112441285714285,0.598305,0.38598291,,119661,0,0,154238,,,,,99,30,6,30,4,0,1,10,5,0,0,1264,2,0,0,9,0,1,0,1,0,4,-999,2
CR202412100010800000005379,,1,0,,0,,0,0,,0,0,30,2,44,0.2961993657142857,1.0,0.28265245,,200000,91290,0,672909,,,,,99,60,0,60,0,0,3,,4,3,1,578,3,0,1,9,1,0,1,0,0,4,-999,3
CR202412100010800000006162,,1,0,,0,,0,0,20,0,0,0,-3,49,0.34715022,0.09535088,0.15204678,,5435,5435,0,10608,,,,,99,20,12,20,4,0,1,,3,0,0,5713,0,0,0,7,0,0,0,0,0,1,-999,0
CR202412100010800000006512,,2,0,,0,,0,0,,0,0,15,6,38,0.3430125088888889,0.78302,0.20695525,,39151,39151,0,72579,,,,,50,30,6,30,4,0,1,,4,2,1,923,3,0,0,2,1,1,0,1,0,3,3631,1
