Dim,,feature,iv,importance,target_corr
??职业与收入稳定性??,0,apiCreditFuZhouPbocScore,0.7836451257190385,0.10353527310525373,0.18881945911147188
??职业与收入稳定性??,1,creditGeneralScore,0.71825694399354,0.08564192778305858,0.181665509114087
??职业与收入稳定性??,2,creditAcardScore,0.6264435913321499,0.08375689360918044,0.17992028902466056
??职业与收入稳定性??,3,jtTradePbcDetailScore,0.62456010168258,0.07950602403297596,0.04974423649267282
??职业与收入稳定性??,4,fintechIceDqPbcV1Model,0.5925569450378441,0.0780467339283002,0.020569471984911297
??职业与收入稳定性??,5,pbocScoreDzXgModel,0.5629392701876881,0.07480365143737155,-0.002983325
??职业与收入稳定性??,6,apiCreditRhMob6Score,0.5394569983905811,0.07287356030952838,-0.007313559
??职业与收入稳定性??,7,capitalAdequacyV3CreditScore,0.2626523588457439,0.07179156823488116,-0.036107741
??职业与收入稳定性??,8,jtTradePbcBlackScore,0.2394868571283629,0.06856495093565565,-0.043868646
??职业与收入稳定性??,9,pbocScoreSyXgModel,0.20195252334395947,0.06649534993131381,-0.109697978
??职业与收入稳定性??,10,creditHouseScore,0.14580032470562918,0.06592311855646732,-0.176608932
??职业与收入稳定性??,11,creditAcard,0.1018360275795816,0.06279918356719137,-0.182153686
??职业与收入稳定性??,12,creditAccfundScore,0.09751993081752011,0.06203162622508605,-0.195595378
??职业与收入稳定性??,13,creditAcardDropwhite,0.09313509778971829,0.024230138343735993,-0.244956063
??账户活跃度与行为特征??,0,bigPbocDetailCreditModelShortTermScore,0.9758395365260867,0.09734755503495368,0.274915180546178
??账户活跃度与行为特征??,1,bigPbocDetailCreditModelLongTermScore,0.8790838451074013,0.096615665069661,0.24606511636974174
??账户活跃度与行为特征??,2,aCardPbocDetailedSubLongTermScore,0.8561188811562946,0.09519352821204607,0.2459753283220674
??账户活跃度与行为特征??,3,aCardPbocDetailedSubShortTermScore,0.8022412915436461,0.0905972609113071,0.23494898875720616
??账户活跃度与行为特征??,4,dqPbcDetailFeedbackEstimator20220602Score,0.6189706397326121,0.0899181950715914,0.16260910538004428
??账户活跃度与行为特征??,5,dqPbcdetailMonthlyCostLast3ygt0Estimator20220602Score,0.5586629349883353,0.08038950910405777,-0.030873232
??账户活跃度与行为特征??,6,dzjtTradePbocV1ModelScore,0.5529748289803413,0.07788092880395957,-0.102830494
